employeeCode,taxYear,taxMonth,salaryIncome,annualBonus,pensionInsurance,medicalInsurance,occupationalAnnuity,housingFund,supplementaryHousingFund,unemploymentInsurance,workInjuryInsurance,withheldTax,otherIncome,otherIncomeRemark,infantCareDeduction,childEducationDeduction,continuingEducationDeduction,housingLoanInterestDeduction,housingRentDeduction,elderCareDeduction,otherDeduction,taxReductionExemption,remark
E2E-001,2026,1,12020,18000,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,2,12040,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,3,12060,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,4,12080,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,5,12100,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,6,12120,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,7,12140,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,8,12160,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,9,12180,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,10,12200,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,11,12220,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-001,2026,12,12240,0,0,0,0,0,0,0,0,320,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,1,12620,20000,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,2,12640,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,3,12660,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,4,12680,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,5,12700,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,6,12720,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,7,12740,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,8,12760,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,9,12780,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,10,12800,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,11,12820,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
E2E-002,2026,12,12840,0,0,0,0,0,0,0,0,350,0,,0,0,0,0,0,0,0,0,
